Input,Output,ObservedProb,ExpectedProb
mureg+PL_63,muregka,1.0,0.7689680759775629
mureg+PL_64,muregka,1.0,0.7689680759775629
mureg+PL_65,muregka,1.0,0.7689680759775629
mureg+PL_66,muregka,1.0,0.7689680759775629
mureg+PL_67,muregka,1.0,0.7689680759775629
mureg+PL_68,muregka,1.0,0.7689680759775629
mureg+PL_69,muregka,1.0,0.7689680759775629
mureg+PL_70,muregka,1.0,0.7689680759775629
mureg+PL_71,muregka,1.0,0.7689680759775629
mureg+PL_72,muregka,1.0,0.7689680759775629
mureg+PL_73,muregka,1.0,0.7689680759775629
mureg+PL_74,muregka,1.0,0.7689680759775629
mureg+PL_75,muregka,1.0,0.7689680759775629
mureg+PL_76,muregka,1.0,0.7689680759775629
mureg+PL_77,muregka,1.0,0.7689680759775629
mureg+PL_78,muregka,1.0,0.7689680759775629
gagut+PL_0,gagutka,1.0,0.7689680759775629
gagut+PL_1,gagutka,1.0,0.7689680759775629
gagut+PL_2,gagutka,1.0,0.7689680759775629
gagut+PL_3,gagutka,1.0,0.7689680759775629
gagut+PL_4,gagutka,1.0,0.7689680759775629
gagut+PL_5,gagutka,1.0,0.7689680759775629
gagut+PL_6,gagutka,1.0,0.7689680759775629
gagut+PL_7,gagutka,1.0,0.7689680759775629
gagut+PL_8,gagutka,1.0,0.7689680759775629
gagut+PL_9,gagutka,1.0,0.7689680759775629
gagut+PL_0,gagutson,0.0,0.23103192402243714
gagut+PL_1,gagutson,0.0,0.23103192402243714
gagut+PL_2,gagutson,0.0,0.23103192402243714
gagut+PL_3,gagutson,0.0,0.23103192402243714
gagut+PL_4,gagutson,0.0,0.23103192402243714
gagut+PL_5,gagutson,0.0,0.23103192402243714
gagut+PL_6,gagutson,0.0,0.23103192402243714
gagut+PL_7,gagutson,0.0,0.23103192402243714
gagut+PL_8,gagutson,0.0,0.23103192402243714
gagut+PL_9,gagutson,0.0,0.23103192402243714
bizob+PL_0,bizobka,1.0,0.7689680759775629
bizob+PL_1,bizobka,1.0,0.7689680759775629
bizob+PL_2,bizobka,1.0,0.7689680759775629
bizob+PL_3,bizobka,1.0,0.7689680759775629
bizob+PL_4,bizobka,1.0,0.7689680759775629
bizob+PL_5,bizobka,1.0,0.7689680759775629
bizob+PL_6,bizobka,1.0,0.7689680759775629
bizob+PL_7,bizobka,1.0,0.7689680759775629
bizob+PL_8,bizobka,1.0,0.7689680759775629
bizob+PL_0,bizobson,0.0,0.23103192402243714
bizob+PL_1,bizobson,0.0,0.23103192402243714
bizob+PL_2,bizobson,0.0,0.23103192402243714
bizob+PL_3,bizobson,0.0,0.23103192402243714
bizob+PL_4,bizobson,0.0,0.23103192402243714
bizob+PL_5,bizobson,0.0,0.23103192402243714
bizob+PL_6,bizobson,0.0,0.23103192402243714
bizob+PL_7,bizobson,0.0,0.23103192402243714
bizob+PL_8,bizobson,0.0,0.23103192402243714
kumud+PL_0,kumudka,1.0,0.7689680759775629
kumud+PL_1,kumudka,1.0,0.7689680759775629
kumud+PL_2,kumudka,1.0,0.7689680759775629
kumud+PL_3,kumudka,1.0,0.7689680759775629
kumud+PL_4,kumudka,1.0,0.7689680759775629
kumud+PL_5,kumudka,1.0,0.7689680759775629
kumud+PL_6,kumudka,1.0,0.7689680759775629
kumud+PL_7,kumudka,1.0,0.7689680759775629
kumud+PL_0,kumudson,0.0,0.23103192402243714
kumud+PL_1,kumudson,0.0,0.23103192402243714
kumud+PL_2,kumudson,0.0,0.23103192402243714
kumud+PL_3,kumudson,0.0,0.23103192402243714
kumud+PL_4,kumudson,0.0,0.23103192402243714
kumud+PL_5,kumudson,0.0,0.23103192402243714
kumud+PL_6,kumudson,0.0,0.23103192402243714
kumud+PL_7,kumudson,0.0,0.23103192402243714
mitin+PL_0,mitinka,0.0,0.7689680759775629
mitin+PL_1,mitinka,0.0,0.7689680759775629
mitin+PL_2,mitinka,0.0,0.7689680759775629
mitin+PL_3,mitinka,0.0,0.7689680759775629
mitin+PL_4,mitinka,0.0,0.7689680759775629
mitin+PL_5,mitinka,0.0,0.7689680759775629
mitin+PL_6,mitinka,0.0,0.7689680759775629
mitin+PL_0,mitinson,1.0,0.23103192402243714
mitin+PL_1,mitinson,1.0,0.23103192402243714
mitin+PL_2,mitinson,1.0,0.23103192402243714
mitin+PL_3,mitinson,1.0,0.23103192402243714
mitin+PL_4,mitinson,1.0,0.23103192402243714
mitin+PL_5,mitinson,1.0,0.23103192402243714
mitin+PL_6,mitinson,1.0,0.23103192402243714
fogun+PL_0,fogunson,1.0,0.23103192402243714
fogun+PL_1,fogunson,1.0,0.23103192402243714
fogun+PL_2,fogunson,1.0,0.23103192402243714
fogun+PL_3,fogunson,1.0,0.23103192402243714
fogun+PL_4,fogunson,1.0,0.23103192402243714
fogun+PL_5,fogunson,1.0,0.23103192402243714
fogun+PL_6,fogunson,1.0,0.23103192402243714
fogun+PL_7,fogunson,1.0,0.23103192402243714
fogun+PL_8,fogunson,1.0,0.23103192402243714
fogun+PL_9,fogunson,1.0,0.23103192402243714
fogun+PL_10,fogunson,1.0,0.23103192402243714
fogun+PL_11,fogunson,1.0,0.23103192402243714
fogun+PL_12,fogunson,1.0,0.23103192402243714
fogun+PL_13,fogunson,1.0,0.23103192402243714
fogun+PL_14,fogunson,1.0,0.23103192402243714
fogun+PL_15,fogunson,1.0,0.23103192402243714
fogun+PL_16,fogunson,1.0,0.23103192402243714
fogun+PL_17,fogunson,1.0,0.23103192402243714
fogun+PL_18,fogunson,1.0,0.23103192402243714
fogun+PL_19,fogunson,1.0,0.23103192402243714
fogun+PL_20,fogunson,1.0,0.23103192402243714
fogun+PL_21,fogunson,1.0,0.23103192402243714
fogun+PL_22,fogunson,1.0,0.23103192402243714
fogun+PL_23,fogunson,1.0,0.23103192402243714
fogun+PL_24,fogunson,1.0,0.23103192402243714
fogun+PL_25,fogunson,1.0,0.23103192402243714
fogun+PL_26,fogunson,1.0,0.23103192402243714
fogun+PL_27,fogunson,1.0,0.23103192402243714
fogun+PL_28,fogunson,1.0,0.23103192402243714
fogun+PL_29,fogunson,1.0,0.23103192402243714
fogun+PL_30,fogunson,1.0,0.23103192402243714
fogun+PL_31,fogunson,1.0,0.23103192402243714
fogun+PL_32,fogunson,1.0,0.23103192402243714
fogun+PL_33,fogunson,1.0,0.23103192402243714
fogun+PL_34,fogunson,1.0,0.23103192402243714
fogun+PL_35,fogunson,1.0,0.23103192402243714
fogun+PL_36,fogunson,1.0,0.23103192402243714
fogun+PL_37,fogunson,1.0,0.23103192402243714
fogun+PL_38,fogunson,1.0,0.23103192402243714
fogun+PL_39,fogunson,1.0,0.23103192402243714
fogun+PL_0,fogunka,0.0,0.7689680759775629
fogun+PL_1,fogunka,0.0,0.7689680759775629
fogun+PL_2,fogunka,0.0,0.7689680759775629
fogun+PL_3,fogunka,0.0,0.7689680759775629
fogun+PL_4,fogunka,0.0,0.7689680759775629
fogun+PL_5,fogunka,0.0,0.7689680759775629
fogun+PL_6,fogunka,0.0,0.7689680759775629
fogun+PL_7,fogunka,0.0,0.7689680759775629
